date,bndes_tjlp,obs_bndes_tlp,ntnb_5yr_yield,cpi_ipca,alpha,ntnb_5yr_yield_ma,est_bndes_tlp,obs_tlp_ipca,bndes_rate,us_treasury_yield,cds_brazil,solar_capacity_ratio,technology_premium,pre_tax_cost_of_debt,cost_of_debt,erp_sp500,cost_of_equity,debt_share,cost_of_capital,selic_target_rate,10yr_bloomberg_yield,yr10_gov_bond_yield,brl_5yr_bloomberg
01 December 2014,5,,,6.41,,,,,5,2.171,2.829,0.016775,3.24916125,8.24916125,5.444446425,5.21,13.45916125,0.6,8.650332355,11.75,4.1,12.43,
01 January 2015,5.5,,,7.14,,,,,5.5,1.641,3.859,0.0168636,3.24915682,8.74915682,5.774443501,5.78,14.52915682,0.6,9.276328829,12.25,4.24,11.97,
01 February 2015,5.5,,,7.7,,,,,5.5,1.993,3.507,0.0171504,3.24914248,8.74914248,5.774434037,6.01,14.75914248,0.6,9.368317414,12.25,4.6,12.43,
01 March 2015,5.5,,,8.13,,,,,5.5,1.923,3.577,0.0174216,3.24912892,8.74912892,5.774425087,5.67,14.41912892,0.6,9.23230662,12.75,4.48,13.06,
01 April 2015,6,,,8.17,,,,,6,2.032,3.968,0.0175974,3.24912013,9.24912013,6.104419286,5.86,15.10912013,0.6,9.706299623,13.25,4.36,12.8,
01 May 2015,6,,,8.47,,,,,6,2.121,3.879,0.0177633,3.249111835,9.249111835,6.104413811,5.8,15.04911184,0.6,9.682293021,13.25,4.4,12.26,
01 June 2015,6,,,8.89,,,,,6,2.353,3.647,0.0185591,3.249072045,9.249072045,6.10438755,5.74,14.98907205,0.6,9.658261348,13.75,4.69,12.63,
01 July 2015,6.5,,,9.56,,,,,6.5,2.18,4.32,0.0194732,3.24902634,9.74902634,6.434357384,5.81,15.55902634,0.6,10.08422497,14.25,4.99,12.98,
01 August 2015,6.5,,,9.53,,,,,6.5,2.218,4.282,0.0203427,3.248982865,9.748982865,6.434328691,5.9,15.64898287,0.6,10.12019036,14.25,5.21,14.28,
01 September 2015,6.5,,,9.49,,,,,6.5,2.037,4.463,0.0207404,3.24896298,9.74896298,6.434315567,6.28,16.02896298,0.6,10.27217453,14.25,5.95,15.47,
01 October 2015,7,,,9.93,,,,,7,2.142,4.858,0.0286678,3.24856661,10.24856661,6.764053963,6.63,16.87856661,0.6,10.80985902,14.25,5.78,15.89,
01 November 2015,7,,,10.48,,,,,7,2.206,4.794,0.0292959,3.248535205,10.24853521,6.764033235,6.12,16.36853521,0.6,10.60583402,14.25,6.16,15.82,
01 December 2015,7,,,10.67,,,,,7,2.269,4.731,0.0304837,3.248475815,10.24847581,6.763994038,6.11,16.35847582,0.6,10.60178675,14.25,7.12,16.49,
01 January 2016,7.5,,7.38,10.71,,,,,7.5,1.921,5.579,0.0316966,3.24841517,10.74841517,7.093954012,6.12,16.86841517,0.6,11.00373848,14.25,6.62,16,7.38
01 February 2016,7.5,,7.07,10.36,,,,,7.5,1.735,5.765,0.0329193,3.248354035,10.74835404,7.093913663,6.47,17.21835403,0.6,11.14368981,14.25,6.41,15.94,7.07
01 March 2016,7.5,,6.46,9.39,,,,,7.5,1.769,5.731,0.0354922,3.24822539,10.74822539,7.093828757,6.51,17.25822539,0.6,11.15958741,14.25,5.39,14,6.46
01 April 2016,7.5,,6.21,9.28,,,,,7.5,1.833,5.667,0.0372968,3.24813516,10.74813516,7.093769206,6.24,16.98813516,0.6,11.05151559,14.25,5.55,12.45,6.21
01 May 2016,7.5,,6.2,9.32,,,,,7.5,1.846,5.654,0.0362843,3.248185785,10.74818579,7.093802618,6.22,16.96818579,0.6,11.04355588,14.25,5.77,13.05,6.2
01 June 2016,7.5,,6.23,8.84,,,,,7.5,1.47,6.03,0.0584615,3.247076925,10.74707693,7.09307077,6.12,16.86707693,0.6,11.00267323,14.25,4.88,12.19,6.23
01 July 2016,7.5,,5.99,8.74,,,,,7.5,1.453,6.047,0.0621112,3.24689444,10.74689444,7.09295033,6.27,17.01689444,0.6,11.06252797,14.25,4.61,11.83,5.99
01 August 2016,7.5,,5.99,8.97,,,,,7.5,1.58,5.92,0.0638365,3.246808175,10.74680818,7.092893395,6.06,16.80680818,0.6,10.97845931,14.25,4.47,12.11,5.99
01 September 2016,7.5,,5.91,8.48,,,,,7.5,1.594,5.906,0.0661635,3.246691825,10.74669183,7.092816604,6.06,16.80669182,0.6,10.97836669,14.25,4.51,11.63,5.91
01 October 2016,7.5,,5.91,7.87,,,,,7.5,1.825,5.675,0.0695105,3.246524475,10.74652448,7.092706154,6.16,16.90652448,0.6,11.01823348,14,4.59,11.47,5.91
01 November 2016,7.5,,6.12,6.99,,,,,7.5,2.381,5.119,0.074066,3.2462967,10.7462967,7.092555822,6.26,17.0062967,0.6,11.05805217,13.75,5.33,11.9,6.12
01 December 2016,7.5,,5.94,6.29,,,,,7.5,2.444,5.056,0.0769683,3.246151585,10.74615159,7.092460046,6.02,16.76615159,0.6,10.96193666,13.75,5.43,11.46,5.94
01 January 2017,7.5,,5.76,5.35,,,,,7.5,2.453,5.047,0.0804857,3.245975715,10.74597572,7.092343972,5.69,16.43597572,0.6,10.82979667,13,4.99,10.94,5.76
